#id,mass,radius,vx,vy,vz,x,y,z
#-,system.get('S.I.').base('mass'),system.get('S.I.').base('length'),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),system.get('S.I.').base('length'),system.get('S.I.').base('length'),system.get('S.I.').base('length')
#None,kg,m,m * s**-1,m * s**-1,m * s**-1,m,m,m
80,3.50013361657e+30,7.47989353455e+13,333.535970117,40818.3303354,79.0324437234,2.62272428806e+20,-2.01955995871e+16,-3.64216383091e+16
81,2.17229517738e+30,7.47989353455e+13,37.2848561952,39724.0359968,-22.2337918409,2.62304925383e+20,-1.18164132765e+16,2.34820074487e+16
82,7.08632424982e+30,7.47989353455e+13,-5.10665794475,40576.9810803,70.3841102768,2.62309894355e+20,1.40819447381e+16,1.17013425923e+16
83,7.75853745754e+30,7.47989353455e+13,302.350169787,40647.078173,-92.3691460117,2.62312094848e+20,2.75527167057e+16,2.48433293353e+15
84,2.33173547156e+30,7.47989353455e+13,617.365625137,40857.8171777,-522.354352255,2.62263090654e+20,1.27883284482e+16,-2.26089382884e+16
85,1.17995070333e+31,7.47989353455e+13,32.6689830513,39525.5220925,259.564156342,2.62304644889e+20,1.05312333057e+16,9.09432154838e+15
86,3.1768671147e+30,7.47989353455e+13,-850.299537459,40003.5111593,-47.9717442626,2.62244259193e+20,-4.95051675154e+15,2.97368661611e+16
87,2.28892140621e+30,7.47989353455e+13,376.034499559,40660.8558213,-57.8311684873,2.62311726474e+20,2.3618760511e+16,7.06948671911e+15
88,2.47297426578e+30,7.47989353455e+13,36.6043488383,39472.7491437,214.687110144,2.62325073767e+20,-1.07269642523e+16,-4.39951950579e+15
89,2.2481444307e+30,7.47989353455e+13,374.02619198,40663.7509441,-100.442522329,2.62311072492e+20,1.7331029645e+16,-3.64665302802e+15
90,3.68275360676e+30,7.47989353455e+13,447.642314731,40690.7207821,-73.1107853877,2.62309541569e+20,1.90212748801e+16,-4.12432835763e+15
91,8.44304883832e+30,7.47989353455e+13,370.275096958,40791.8680581,57.0613165876,2.62269246513e+20,-1.83554172489e+16,-3.87800645652e+16
92,5.3464861865e+30,7.47989353455e+13,-108.207869187,39788.3070534,-36.8930547986,2.62306524064e+20,-8.93638087885e+15,2.18242760836e+16
93,3.64411607178e+30,7.47989353455e+13,-839.872229228,39991.1392154,-10.8454942395,2.62242529082e+20,-6.82694698612e+15,2.72282777648e+16
94,4.87544347888e+30,7.47989353455e+13,343.274806123,40732.0084084,-112.204710827,2.62306993988e+20,1.29318554234e+16,-3.01780072577e+15
95,3.42075366469e+30,7.47989353455e+13,19.4535061708,39728.8354693,7.55111549154,2.62307132953e+20,-1.18388484721e+16,1.32470118066e+16
96,3.13221586383e+30,7.47989353455e+13,203.721020163,40700.6927415,72.5074517104,2.62264661006e+20,-2.13642117473e+16,-4.59251831574e+16
97,2.54025264089e+30,7.47989353455e+13,221.867418735,40760.8542802,26.1529182129,2.62301184088e+20,1.36435891759e+16,-2.02231874786e+15
98,4.45602429064e+30,7.47989353455e+13,-707.362501976,39253.8595974,-185.169834161,2.62264497174e+20,2.81186563181e+15,1.85381478116e+16
99,2.45889897451e+30,7.47989353455e+13,425.230315533,40627.2103062,-196.710558824,2.62302336509e+20,1.29450693138e+16,-3.87347937743e+15
